 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,466.533,88.820,32.312,723,1440,11.004,22.065
2,714.937,100.639,33.177,632,1466,10.713,29.075
3,363.291,86.115,34.316,686,1493,29.197,16.892
4,631.101,95.264,33.212,730,1499,21.801,25.382
5,642.745,120.877,36.667,744,1532,144.782,27.583
6,671.467,110.607,35.994,630,1592,21.541,27.174
7,342.332,81.344,30.774,717,1607,23.629,18.438
8,711.832,109.966,41.885,737,1622,14.621,24.524
9,386.578,79.885,30.072,769,1772,31.827,17.452
10,746.764,117.442,41.419,758,1812,29.291,24.974
