 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,553.475,91.829,30.837,656,816,126.870,23.641
2,775.486,109.059,39.402,720,841,100.305,28.194
3,395.117,76.360,27.820,497,862,100.954,18.389
4,153.700,47.098,16.624,419,889,147.995,13.216
5,560.461,99.482,39.569,559,889,101.560,18.583
6,405.985,82.893,32.312,582,894,101.004,16.740
7,704.070,103.950,37.844,475,948,77.905,23.789
8,707.951,104.679,38.896,683,960,76.908,25.551
9,711.832,105.623,39.105,444,961,104.349,25.001
10,666.809,99.393,36.805,631,966,101.041,24.670
11,541.831,90.457,34.271,532,971,107.969,21.145
12,477.401,87.361,32.312,706,1009,101.004,21.138
13,294.203,72.409,28.536,516,1021,98.881,12.995
14,229.774,58.525,22.026,491,1023,106.260,14.973
15,437.812,82.377,29.969,396,1028,114.305,20.300
16,519.319,84.869,30.774,557,1068,76.759,22.026
17,735.896,104.163,35.778,660,1082,80.074,27.313
18,775.486,110.909,42.005,721,1103,80.340,25.551
19,556.580,88.820,32.396,387,1066,112.380,23.789
20,234.431,68.368,26.796,696,1099,80.538,13.216
21,796.445,105.925,35.517,431,1105,113.385,29.956
22,528.634,88.695,33.025,550,1141,80.789,20.264
23,709.503,105.925,39.804,491,1116,95.080,23.674
24,111.782,42.114,17.107,746,1133,101.889,7.930
25,111.005,50.836,22.097,503,1161,66.501,7.801
26,648.179,101.369,37.670,679,1142,100.784,23.789
27,582.973,93.465,34.855,562,1159,106.144,21.145
28,811.970,122.942,42.116,613,1172,105.781,27.313
29,247.628,69.400,27.539,416,1178,97.352,12.335
30,992.063,125.006,46.228,444,1183,97.667,27.440
31,279.454,66.908,25.793,724,1199,97.853,14.097
32,107.124,47.098,19.701,644,1236,79.695,7.431
33,855.441,112.760,41.522,493,1222,107.281,26.432
34,652.060,103.220,40.815,538,1237,103.736,21.145
35,319.820,73.566,28.861,606,1239,102.339,15.762
36,398.222,78.978,29.288,482,1289,105.709,20.060
37,293.427,74.171,30.163,567,1292,96.710,12.335
38,217.353,62.566,24.193,548,1309,100.491,12.677
39,240.641,66.606,26.666,454,1341,97.595,12.335
