 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,263.153,65.058,23.967,1213,86,143.973,15.706
2,435.483,82.590,29.407,1186,111,171.384,20.264
3,297.308,64.844,21.796,1228,119,104.036,18.395
4,217.353,56.977,20.794,1152,150,36.384,14.329
5,296.532,66.090,23.723,1192,176,58.671,18.377
6,317.491,72.748,24.064,1105,189,66.251,18.622
7,360.186,80.526,28.536,1254,166,98.881,17.621
8,478.954,85.082,30.432,1208,201,67.891,22.907
9,294.203,69.526,25.793,1166,172,97.853,15.859
10,329.135,67.852,24.241,1141,202,70.907,17.621
11,308.952,69.614,24.496,1235,227,37.694,18.377
12,503.018,84.139,28.468,1119,244,68.199,23.789
13,264.705,59.558,19.799,1199,243,57.724,18.125
14,169.225,53.541,21.016,1032,246,56.976,12.044
15,161.462,49.287,17.840,1284,248,69.775,12.925
16,174.659,64.239,19.060,1089,253,33.690,15.575
17,413.748,78.336,26.898,1183,277,31.608,20.624
18,346.213,70.558,23.707,1285,278,48.013,20.365
19,457.995,79.885,26.854,1122,282,41.009,22.907
20,108.677,48.771,17.840,1073,279,57.095,10.457
21,253.061,62.780,21.796,1235,303,75.964,15.859
22,103.243,45.247,18.855,1186,309,37.405,8.668
23,275.573,60.804,20.111,1283,322,61.189,18.502
24,153.700,47.828,19.403,1304,347,39.472,12.215
25,230.550,60.804,21.182,1326,348,106.928,15.359
26,317.491,70.469,23.177,1179,381,81.254,19.936
27,136.622,50.017,19.799,1252,377,69.146,10.573
28,424.615,79.155,26.196,1291,400,47.726,22.907
29,138.951,47.009,18.732,1169,403,41.186,11.008
30,208.038,55.820,21.885,1320,412,40.101,13.857
31,277.126,65.574,23.723,1239,450,58.671,16.740
32,353.199,74.082,25.793,1217,428,97.853,18.502
33,222.787,61.017,20.942,1311,443,22.249,16.740
34,319.820,67.034,22.975,1261,463,57.529,18.519
35,461.100,82.590,26.796,1288,473,99.462,22.502
36,140.503,51.779,18.586,1225,515,31.430,11.821
37,200.276,65.788,20.644,1259,530,39.806,15.575
