 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,249.956,58.312,20.341,2014,689,162.350,16.740
2,104.019,42.755,17.016,1927,719,21.251,9.628
3,194.842,55.304,21.599,1842,738,11.768,12.567
4,347.765,82.288,27.142,2034,748,35.754,19.180
5,383.473,80.312,30.137,1953,753,15.255,18.110
6,412.195,90.796,26.092,1979,780,11.689,22.178
7,179.317,49.074,17.377,1880,789,30.466,14.097
8,149.042,47.009,15.412,2064,799,59.036,13.652
9,246.075,60.804,21.599,2032,822,11.768,16.740
10,402.104,99.305,27.440,2046,857,42.397,22.775
11,153.700,50.106,18.397,1928,860,16.699,12.274
12,459.547,86.115,27.142,2012,898,144.246,23.789
13,682.334,102.313,33.177,1973,927,169.287,28.661
14,100.914,38.287,14.531,1907,929,165.964,9.415
15,116.439,39.319,14.234,1954,933,158.199,10.573
16,350.094,76.360,30.137,1934,975,15.255,16.027
17,121.873,44.303,17.310,2000,969,14.744,9.692
18,120.321,44.090,17.840,1886,973,159.775,9.692
19,494.479,92.558,33.895,1957,993,8.973,21.145
20,243.746,59.344,22.463,1904,1014,168.690,14.097
