 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,585.301,96.599,35.680,407,625,57.095,23.247
2,210.367,56.033,21.671,476,639,63.435,14.173
3,519.319,93.465,37.401,497,671,74.982,19.383
4,118.768,54.485,23.723,405,670,58.671,8.064
5,453.337,82.893,30.837,458,682,53.130,19.446
6,156.805,53.239,18.397,511,718,73.301,12.107
7,244.523,66.090,23.127,467,753,72.255,14.978
8,365.619,74.082,28.807,704,767,66.571,18.083
9,319.044,67.336,23.277,407,763,60.524,19.224
10,310.505,87.486,29.088,420,794,54.866,15.680
11,234.431,61.836,21.796,530,772,104.036,16.740
12,253.061,61.320,22.097,611,814,66.501,15.813
13,317.491,73.994,25.913,438,820,54.689,17.797
14,269.363,61.534,20.738,385,821,77.735,18.434
15,275.573,62.780,21.016,315,804,123.024,18.502
16,537.950,98.059,33.906,655,846,65.433,22.403
17,170.778,52.295,19.323,409,835,43.152,12.259
18,205.709,61.017,19.975,619,837,41.424,15.575
19,278.678,67.336,25.928,564,854,80.218,14.097
20,360.186,94.748,29.956,579,865,61.928,19.782
21,300.413,66.518,22.975,303,862,57.529,17.350
22,220.458,57.279,19.878,516,862,77.196,15.706
23,134.293,45.549,15.158,686,874,125.538,12.335
24,501.465,103.131,29.552,640,908,63.435,24.624
25,367.172,74.598,27.370,496,911,56.821,18.125
26,477.401,84.139,29.327,572,908,32.735,21.596
27,242.194,63.296,21.292,585,925,24.444,17.731
28,247.628,60.376,21.599,468,951,78.232,14.978
29,309.729,69.010,23.967,619,972,17.103,19.383
