 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,152.147,57.921,22.566,2106,765,128.660,10.591
2,504.570,94.446,32.504,2137,768,122.829,21.974
3,678.453,115.289,37.463,2097,809,138.814,26.056
4,444.022,91.526,34.316,2251,855,138.122,19.793
5,341.555,77.945,27.861,2182,861,145.305,18.067
6,111.782,51.263,22.237,2323,900,146.310,8.710
7,600.827,112.281,37.639,1987,922,147.426,22.853
8,248.404,62.993,21.455,2396,928,160.821,16.740
9,497.584,103.043,33.248,2198,949,122.005,24.574
10,230.550,62.780,25.044,2114,975,140.711,14.273
11,157.581,54.271,19.563,2003,984,144.162,12.731
12,289.546,79.066,25.044,2091,996,129.289,16.996
13,117.216,50.533,17.444,2121,997,135.000,11.145
14,142.056,51.049,16.925,2278,1007,128.660,12.259
15,317.491,69.010,24.480,2194,1021,149.744,17.444
16,141.280,51.993,19.403,2096,1027,129.472,11.214
17,208.038,69.010,21.219,2125,1065,138.366,14.939
18,241.417,67.977,22.566,2118,1078,128.660,15.883
