 ,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,239.089,60.590,24.048,596,810,118.443,14.978
2,115.663,48.557,19.243,579,814,105.945,8.811
3,100.138,41.081,15.587,539,824,132.709,9.924
4,201.052,59.344,24.193,558,824,100.491,11.454
5,767.723,114.220,42.162,530,825,100.840,22.907
6,103.243,41.295,16.460,614,828,105.524,9.158
7,113.334,50.320,20.436,596,871,82.569,8.811
8,168.449,61.622,25.913,376,851,107.819,8.919
9,476.625,86.845,31.632,608,856,102.875,22.389
10,979.643,147.221,49.253,354,863,100.305,27.809
11,295.756,77.090,24.048,463,877,98.427,18.502
12,180.093,64.844,25.793,560,905,97.853,10.514
13,488.269,91.615,34.765,314,915,98.746,19.833
14,117.992,44.090,17.310,422,940,75.256,9.556
15,156.805,58.739,18.979,395,961,68.199,13.652
16,402.104,94.748,30.774,410,955,113.629,20.210
17,734.344,132.394,41.885,522,967,112.249,24.967
18,103.243,48.255,16.554,620,981,154.799,11.702
19,690.873,104.893,41.137,312,979,99.866,22.407
20,124.978,50.836,20.341,550,990,107.650,8.811
21,154.476,55.820,22.583,514,1013,110.556,9.917
22,1026.218,157.491,46.161,553,1081,103.241,31.669
23,103.243,49.199,16.246,367,1128,77.471,10.370
24,146.714,58.525,19.799,400,1161,57.724,13.083
25,513.885,93.893,30.546,459,1149,123.232,23.019
26,687.768,123.583,36.678,524,1261,65.898,31.107
27,107.124,47.739,16.389,718,1229,143.746,9.841
28,1176.037,140.172,49.535,379,1229,128.501,34.046
