image_id,damage_whole,damage_pic,folds,warped,late_season_missing,damage_sub1,damage_sub2,damage_sub3
MAT-FH3-E,1,2,0,0,0,1,1,1
MAT-FH3-N,1,2,0,0,1,3,1,1
MAT-FH3-S,1,1,0,0,0,1,2,1
MAT-FH3-W,1,5,0,1,0,5,NA,NA
MAT-FH4-E,2,2,1,0,0,2,2,2
MAT-FH4-N,2,3,0,0,0,3,2,2
MAT-FH4-S,2,1,0,0,0,2,1,1
MAT-FH4-W,2,2,0,0,1,2,1,3
MAT-FH5-E,2,2,0,0,0,1,1,2
MAT-FH5-N,2,1,0,0,0,1,1,2
MAT-FH5-S,2,4,0,0,0,NA,NA,3
MAT-FH5-W,2,3,2,0,0,2,1,3
MAT-FH6-E,1,1,0,0,0,2,1,1
MAT-FH6-N,1,1,0,0,0,1,1,1
MAT-FH6-S,1,3,0,0,0,4,3,1
MAT-FH6-W,1,1,0,0,0,2,1,2
MAT-FH7-E,2,2,1,0,0,3,1,1
MAT-FH7-N,2,1,0,0,0,0,2,0
MAT-FH7-S,2,4,0,0,0,4,4,4
MAT-FH7-W,2,1,0,0,0,0,0,0
MAT-TH1-E,3,4,0,1,0,2,3,4
MAT-TH1-N,3,4,0,0,0,2,3,3
MAT-TH1-S,3,2,0,1,0,2,2,1
MAT-TH1-W,3,3,0,1,0,4,4,4
MAT-TH2-E,1,2,0,0,1,1,1,1
MAT-TH2-N,1,2,0,0,0,2,1,1
MAT-TH2-S,1,2,0,0,0,NA,2,1
MAT-TH2-W,1,2,0,0,0,1,2,2
MAT-TH3-E,3,2,0,0,0,2,2,2
MAT-TH3-N,3,2,0,0,1,2,4,4
MAT-TH3-S,3,3,0,1,0,1,1,3
MAT-TH3-W,3,1,0,0,0,2,2,2
MAT-TH4-E,2,2,0,0,0,2,2,1
MAT-TH4-N,2,2,0,0,0,1,1,3
MAT-TH4-S,2,1,0,0,0,1,0,1
MAT-TH4-W,2,2,0,1,0,5,2,2
MAT-TH5-E,1,3,0,0,0,3,3,4
